image,landmark,resolution_x,resolution_y,resolution_z,x_detected,y_detected,z_detected,x_groundtruth,y_groundtruth,z_groundtruth,x_error_mm,y_error_mm,z_error_mm,error_magnitude_mm,x_error_voxels,y_error_voxels,z_error_voxels
BS-016,Commissure LCC-RCC,0.3515625,0.3515625,0.3,93.33823252219648,62.477970847642766,99.0869570868208,91.42449569702148,57.02365112304682,98.11462402343771,-0.6727981026005836,-1.917534278178263,-0.2916999190149269,2.0529695169692346,1.9137368251749933,5.454319724595948,0.9723330633830898
BS-016,Commissure LCC-NCC,0.3515625,0.3515625,0.3,79.5409531233737,79.99327550724969,93.80819262532196,74.3216781616211,71.57144165039057,94.49267578125024,-1.8349013537411496,-2.9608009653020355,0.205344946778483,3.4893225533421277,5.219274961752603,8.421833856859124,-0.6844831559282767
BS-016,Nadir LCS,0.3515625,0.3515625,0.3,102.4812780213818,78.0,92.65915186091686,100.9666748046875,79.03483581542963,90.62133789062524,-0.5324776933690889,0.3638094663619795,-0.6113441910874868,0.8886121435849655,1.5146032166942973,-1.0348358154296307,2.037813970291623
BS-016,Nadir RCS,0.3515625,0.3515625,0.3,98.05364790888996,64.90732804762797,79.34105686130496,102.9011116027832,63.57582092285151,80.69335937500023,1.7041864548843444,-0.46810797355422346,0.4056907541085792,1.8132737068312381,-4.847463693893246,1.3315071247764578,-1.352302513695264
BS-016,Nadir NCS,0.3515625,0.3515625,0.3,86.77120963383707,78.0,74.86039229155212,84.90555953979492,79.634292602539,73.70587158203148,-0.6558926111866942,0.5745559930801192,-0.3463562128561918,0.9382282945944797,1.8656500940421523,-1.6342926025390057,1.1545207095206393
BS-016,Basis of IVT LCC-RCC,0.3515625,0.3515625,0.3,104.2383279194342,69.1496192901126,89.734292676913,105.4119987487793,70.12719726562494,90.40948486328148,0.4126186509416363,0.34367975701605935,0.20255765591054312,0.5739333850330433,-1.1736708293450988,-0.9775779755123466,-0.6751921863684771
BS-016,Basis of IVT NCC-RCC,0.3515625,0.3515625,0.3,90.48498672916014,68.61630886803816,74.0,92.56244659423828,69.25459289550776,74.00396728515648,0.7303569838165336,0.22439672840727953,0.0011901855469432121,0.7640527678577643,-2.07745986507814,-0.6382840274695951,-0.003967285156477374
BS-016,Basis of IVT LCC-NCC,0.3515625,0.3515625,0.3,92.75131358721453,82.39476762762966,82.50405745605795,90.54347229003906,82.80476379394526,81.79632568359398,-0.7761942060382487,0.14413927722032593,-0.2123195317391918,0.8175164587229391,2.207841297175463,-0.40999616631559377,0.7077317724639727
BS-030,Commissure NCC-RCC,0.326171875,0.326171875,0.30000000000000004,62.0,60.0,94.94506692118482,61.1330089569092,58.42019653320315,97.17962036132816,-0.2827880941331317,-0.5152874588966276,0.6703660320430033,0.8915609280339025,0.866991043090799,1.5798034667968466,-2.234553440143344
BS-030,Commissure LCC-NCC,0.326171875,0.326171875,0.30000000000000004,65.62042232167126,74.86611945472717,102.44262897913616,63.13166809082033,74.78576660156253,100.69613037109376,-0.8117616338908306,-0.026208840778310538,-0.5239495824127204,0.9665231598376305,2.4887542308509296,0.08035285316464069,1.7464986080424012
